quarter,gtrepo-etri,cghub.ucsc,gtrepo-riken,gtrepo-dkfz,gtrepo-ebi,gtrepo-osdc-icgc
2014/11/26 18:41:21,15.5622306680679,9.98308764358485,65.4452560858998,0.502402110677877,3.55113636363636e-05,24.6013845801353
2014/11/27 21:14:23,36.1912341117859,24.5706527059798,69.3945387807386,28.3628827937238,3.55113636363636e-05,30.2786271755512
2014/11/28 01:13:45,37.8029894770881,25.4122540100276,61.9212807581975,28.3628827937238,3.55113636363636e-05,31.4897722625732
2014/11/29 07:13:51,33.9539578212391,26.9667269946836,41.4936417451839,1.1766928745241,3.55113636363636e-05,8.20046152671178
2014/11/30 08:24:53,71.2773923728302,25.3276170274796,47.9152767771766,0.744864247993428,3.55113636363636e-05,8.37493943153544
2014/12/01 09:25:15,68.6569000061821,25.0151875411209,76.6644428434826,8.31186289292761,3.55113636363636e-05,28.1158680915833
2014/12/02 17:44:24,17.3556475852059,23.3449486185749,62.4012906865556,0.546839931171638,3.55113636363636e-05,15.1393135877756
2014/12/03 16:58:09,57.9958906884519,24.295900998405,21.7561256717991,0.642950460032893,0.000244140625,21.2768731503873
2014/12/04 21:13:12,39.9031555591485,24.1416413095262,71.2368716687228,25.8454671611447,0.000244140625,32.8018461068471
2014/12/05 18:50:02,36.6170133366304,26.5200244551029,60.9830795345884,0.452935547284021,0.000244140625,8.65103633587177
2014/12/06 18:56:26,34.7112951704117,28.5351482645432,18.9406270554486,1.37074657154667,0.000244140625,24.6013845801353
2014/12/07 05:13:19,34.7112951704117,25.2645083471786,70.6119868295235,24.7472178483482,0.000244140625,22.4926944732666
2014/12/08 09:13:28,40.421378358618,24.9946327444561,71.872915165765,22.2284170495341,0.000244140625,27.14635539877
2014/12/09 05:12:41,0.000244140625,24.7707394543999,62.8888007700443,16.2980744411696,0.000244140625,26.2414768854777
