quarter,gtrepo-etri,cghub.ucsc,gtrepo-riken,gtrepo-dkfz,gtrepo-ebi,gtrepo-osdc-icgc
2014/11/26 09:01:20,26.831432186324,12.8023855429306,22.8038711007526,25.1027813231808,3.55113636363636e-05,9.96511780461179
2014/11/27 01:19:17,28.209481573537,11.75820179745,6.78732419777881,24.4015863141534,3.55113636363636e-05,9.84055383205414
2014/11/28 13:09:50,19.0294347498458,11.1219261608786,29.0605288756884,16.4515403021976,3.55113636363636e-05,9.26169772428625
2014/11/29 20:59:09,19.0557926547771,15.769034758944,23.8158772146913,16.3591159184774,3.55113636363636e-05,9.71906551313989
2014/11/30 21:02:49,19.8666774485974,15.7772137188813,25.0771542011392,11.0579340512239,3.55113636363636e-05,9.71906551313989
2014/12/01 04:58:53,21.8673030464655,15.9258995026194,18.0084261712879,17.8280977560549,3.55113636363636e-05,9.71906551313989
2014/12/02 12:56:14,19.6990261621113,15.6232501540848,28.1460367082716,21.6231878724429,3.55113636363636e-05,9.26169772428625
2014/12/03 00:57:37,19.0947615559116,15.7772137188813,24.1010973010948,16.2073615964136,0.000260416666666667,9.71906551313989
2014/12/04 08:56:15,37.8029894770881,14.8891179882541,23.9576383885883,16.1474452873695,0.000260416666666667,9.48487116342567
2014/12/05 00:52:58,20.7958538994226,17.956592709565,24.1010973010948,16.2073615964136,0.000260416666666667,9.96511780461179
2014/12/06 20:59:54,39.2325142892469,13.300598185397,23.1315129269129,16.8644167962682,0.000260416666666667,9.84055383205414
2014/12/07 01:09:17,29.2706532941717,10.6358279895116,21.1279960592275,24.2660219457414,0.000260416666666667,9.37195603052775
2014/12/08 17:30:41,3.72302169092534,16.0265901211818,22.8038711007526,16.8644167962682,0.000260416666666667,9.71906551313989
2014/12/09 04:51:21,0.000229779411764706,15.5992143846169,25.1555203080177,15.2723215043128,0.000260416666666667,10.0928757251837
