quarter,gtrepo-etri,cghub.ucsc,gtrepo-riken,gtrepo-dkfz,gtrepo-ebi,gtrepo-osdc-icgc
2014/11/26 05:24:51,29.9273666693614,11.0532224018906,26.6548559555155,25.7692268450352,3.55113636363636e-05,43.7357948091295
2014/11/27 17:10:02,24.8333468107467,17.3522350541946,39.8503292008202,17.6837406892043,3.55113636363636e-05,49.2027691602707
2014/11/28 01:12:03,24.5719431601073,17.6441229988417,38.7008004738734,13.0190281676109,3.55113636363636e-05,46.3084886214312
2014/11/29 21:10:36,24.1899958571004,18.0847015755072,28.5452712715095,16.8319227369305,3.55113636363636e-05,49.2027691602707
2014/11/30 21:11:13,38.4252609088097,16.345227324021,30.0364421588271,17.3673318100734,3.55113636363636e-05,46.3084886214312
2014/12/01 13:11:58,21.9702080019783,17.0220862059334,36.9255343970902,15.9995749092801,3.55113636363636e-05,46.3084886214312
2014/12/02 01:09:44,28.9081684236556,17.2147527164703,45.4789067715575,17.2643634396579,3.55113636363636e-05,49.2027691602707
2014/12/03 21:08:09,22.4996106044356,16.6767916940806,40.4510879324908,23.2334252671993,0.000260416666666667,43.7357948091295
2014/12/04 01:16:07,37.0529301620665,12.8077760210539,45.2234072953128,18.2375112744612,0.000244140625,46.3084886214312
2014/12/05 17:11:21,23.285133169179,16.8523368698078,25.800533649249,17.1626088417818,0.000244140625,46.3084886214312
2014/12/06 09:09:45,25.5817490433993,16.3101705361947,30.8420172358838,20.4106726646423,0.000260416666666667,46.3084886214312
2014/12/07 01:13:33,35.3687060637908,14.7949747324918,23.1315129269129,18.8270859923856,0.000244140625,46.3084886214312
2014/12/08 21:05:18,0.000229779411764706,15.8512079468489,26.2207377803442,21.0500431336552,0.000260416666666667,49.2027691602707
2014/12/09 01:06:04,0.000229779411764706,16.4513077609535,22.9993328530448,17.3328728183867,0.000260416666666667,43.7357948091295
